Name	1: Id:1 Vel_NC (kp:50 Tn:5)
Record-Number	1
Axis-ID	1
Min Frequency [Hz]	1
Max Frequency [Hz]	247.5
Frequency Steps	100
Mode	Velocity NC (without oversampling)
Position Monitoring Window [mm]	50
Velocity Amplitude Scaling Mode	1/ 10 at 1000Hz
Velocity Base Amplitude [mm/s]	10
Velocity Signal Amplitude [mm/s]	20
Integral Time [s]	5
Proportional Gain	50
Check Drive Limitations	True
Dead Time [s]	0.008
Cycle Time [ms]	2
Oversampling	x1
Frequency	Process-Gain	Process-Phase	Open-Loop-Gain	Open-Loop-Phase	Close-Loop-Gain	Close-Loop-Phase
75.1953125	-43.719380781869745	-139.74494791719255	-13.771375547998858	-148.12911467292878	-12.185175113716662	-140.66924646493396
77.1484375	-44.010906575582	-145.46772883106982	-13.991465583594451	-150.45026410961816	-12.395041746965596	-143.65205514844385
80.078125	-44.650702288520876	-153.30479398340805	-14.358944507106131	-153.79694160985289	-12.766925504801581	-147.96908229754459
82.03125	-45.112823501748714	-158.01819598545677	-14.582209332063915	-156.01342272174196	-12.994944464213319	-150.78871296213188
84.9609375	-45.855474368151846	-164.54865757990913	-14.905065056933779	-159.49825275445477	-13.328232908234288	-155.16827993539559
86.9140625	-46.362433511787081	-168.27479912927549	-15.113119355415476	-161.7351632082727	-13.548203230352669	-157.95822818692955
89.84375	-47.101573846110234	-172.92752428881238	-15.408124689772613	-164.88365217825279	-13.866523227940386	-161.8548354742467
92.7734375	-47.8417719792633	-177.30557408109553	-15.707861043407188	-168.37697967085643	-14.194478941229987	-166.12417173334504
95.703125	-48.523596613925761	-181.073189405064	-15.986250386469621	-171.84404866439007	-14.504511705286834	-170.31354979819849
98.6328125	-49.138303394314761	-184.42103999155592	-16.241402701068331	-175.34015831178422	-14.793500751931228	-174.49247606176482
101.5625	-49.72896827587077	-187.20914652451452	-16.52076170115113	-178.69053427811895	-15.11710171980441	-178.4608123758573
105.46875	-50.4069657989948	-190.84392910789745	-16.858267465918587	-183.43153869612621	-15.515075544669619	-184.00629367181787
108.3984375	-50.798387450545682	-193.56404413969108	-17.052211426585529	-187.15020976588852	-15.750883334911364	-188.31346925399623
111.328125	-51.178017205085723	-196.18848315458	-17.282752133076578	-190.92600763668915	-16.034481739096314	-192.64062369833289
115.234375	-51.605414554867927	-199.77774772662877	-17.586453534098467	-196.13035366176209	-16.416051283153784	-198.53591709578205
119.140625	-51.948010646605283	-203.49451140101385	-17.888394588125532	-201.4359923689224	-16.803002263816293	-204.4630194546383
122.0703125	-52.131034699142347	-206.38228802987757	-18.091258224951964	-205.42164736719934	-17.070225155978875	-208.86999153006553
125.9765625	-52.353596346656865	-210.74991180032265	-18.399898794646393	-211.04743219891913	-17.476412052044786	-215.0018632638743
129.8828125	-52.499631255965767	-215.41789223738405	-18.689016222086007	-216.6322239641195	-17.863438942955327	-221.00857190931083
133.7890625	-52.615321672939956	-220.45901558535081	-18.98718303879232	-222.16241189741524	-18.261105829232985	-226.86600228500981
138.671875	-52.765017699196719	-227.79126153686897	-19.387851755409258	-229.38710982595515	-18.79211217761441	-234.39186297378183
142.578125	-52.917505963244764	-234.07715861288341	-19.72580407278134	-235.0166518820599	-19.230944545847976	-240.15247443883027
147.4609375	-53.130163954745058	-242.51010913553523	-20.115011898512883	-242.00587732728087	-19.739166031342844	-247.22652103681463
151.3671875	-53.416675399723985	-249.6611837674339	-20.465059187220657	-247.64410401037566	-20.181892811031187	-252.84034969567185
156.25	-53.895532562061845	-258.76372992381766	-20.910662235815153	-254.71212022004707	-20.736193970879015	-259.79647997377043
